Direction,TriggerLevel,TriggerTime,GoalLevel,ActionableTriggers,TotalHits,TotalCompletionRate
Above,-0.382,1300,-1.0,15,8,53.33
Above,-0.382,1300,0.0,33,13,39.39
Below,-0.382,1300,0.236,25,13,52.0
Below,-0.382,1300,0.382,30,5,16.67
Below,-0.382,1300,0.5,34,6,17.65
Below,-0.382,1300,0.618,40,4,10.0
Below,-0.382,1300,0.786,47,5,10.64
Below,-0.382,1300,1.0,51,3,5.88
Below,-0.382,1300,-0.236,0,0,0.0
Below,-0.382,1300,-0.382,0,0,0.0
Below,-0.382,1300,-0.5,54,22,40.74
Below,-0.382,1300,-0.618,54,10,18.52
Below,-0.382,1300,-0.786,54,3,5.56
Below,-0.382,1300,-1.0,54,1,1.85
Below,-0.382,1300,0.0,7,6,85.71
Above,-0.382,1400,0.236,47,8,17.02
Above,-0.382,1400,0.382,47,0,0.0
Above,-0.382,1400,0.5,47,0,0.0
Above,-0.382,1400,0.618,47,0,0.0
Above,-0.382,1400,0.786,47,0,0.0
Above,-0.382,1400,1.0,47,0,0.0
Above,-0.382,1400,-0.236,47,47,100.0
Above,-0.382,1400,-0.382,0,0,0.0
Above,-0.382,1400,-0.5,0,0,0.0
Above,-0.382,1400,-0.618,1,1,100.0
Above,-0.382,1400,-0.786,10,8,80.0
Above,-0.382,1400,-1.0,23,9,39.13
Above,-0.382,1400,0.0,47,44,93.62
Below,-0.382,1400,0.236,21,9,42.86
Below,-0.382,1400,0.382,27,5,18.52
Below,-0.382,1400,0.5,37,11,29.73
Below,-0.382,1400,0.618,41,10,24.39
Below,-0.382,1400,0.786,48,5,10.42
Below,-0.382,1400,1.0,50,2,4.0
Below,-0.382,1400,-0.236,0,0,0.0
Below,-0.382,1400,-0.382,0,0,0.0
Below,-0.382,1400,-0.5,60,28,46.67
Below,-0.382,1400,-0.618,60,9,15.0
Below,-0.382,1400,-0.786,60,6,10.0
Below,-0.382,1400,-1.0,60,2,3.33
Below,-0.382,1400,0.0,10,10,100.0
Above,-0.382,1500,0.236,27,2,7.41
Above,-0.382,1500,0.382,27,0,0.0
Above,-0.382,1500,0.5,27,0,0.0
Above,-0.382,1500,0.618,27,0,0.0
Above,-0.382,1500,0.786,27,0,0.0
Above,-0.382,1500,1.0,27,0,0.0
Above,-0.382,1500,-0.236,27,27,100.0
Above,-0.382,1500,-0.382,19,18,94.74
Above,-0.382,1500,-0.5,19,18,94.74
Above,-0.382,1500,-0.618,19,18,94.74
Above,-0.382,1500,-0.786,20,19,95.0
Above,-0.382,1500,-1.0,23,21,91.3
Above,-0.382,1500,0.0,27,27,100.0
