Direction,TriggerLevel,TriggerTime,GoalLevel,ActionableTriggers,TotalHits,TotalCompletionRate
Above,-0.786,OPEN,1.0,3124,59,1.89
Above,-0.786,OPEN,-0.236,639,604,94.52
Above,-0.786,OPEN,-0.382,375,351,93.6
Above,-0.786,OPEN,-0.5,231,213,92.21
Above,-0.786,OPEN,-0.618,109,89,81.65
Above,-0.786,OPEN,-0.786,3022,185,6.12
Above,-0.786,OPEN,-1.0,3333,99,2.97
Above,-0.786,OPEN,0.0,1237,998,80.68
Below,-0.786,OPEN,0.236,548,93,16.97
Below,-0.786,OPEN,0.382,549,25,4.55
Below,-0.786,OPEN,0.5,549,11,2.0
Below,-0.786,OPEN,0.618,549,5,0.91
Below,-0.786,OPEN,0.786,549,3,0.55
