GoalZone,GoalTime,TransitionCount,TriggerZone,TriggerTime,TotalTriggerOccurrences,TransitionPercentage,GoalTimeHourly,GoalTime10Min,Granularity
-1.0_to_-0.786,1040,50,-1.0_to_-0.786,930,152,32.89,1040,1040,10-Minute
-1.0_to_-0.786,1050,48,-1.0_to_-0.786,930,152,31.58,1050,1050,10-Minute
-1.0_to_-0.786,1100,47,-1.0_to_-0.786,930,152,30.92,1100,1100,10-Minute
-1.0_to_-0.786,1110,44,-1.0_to_-0.786,930,152,28.95,1110,1110,10-Minute
-1.0_to_-0.786,1120,41,-1.0_to_-0.786,930,152,26.97,1120,1120,10-Minute
-1.0_to_-0.786,1130,35,-1.0_to_-0.786,930,152,23.03,1130,1130,10-Minute
-1.0_to_-0.786,1140,29,-1.0_to_-0.786,930,152,19.08,1140,1140,10-Minute
-1.0_to_-0.786,1150,33,-1.0_to_-0.786,930,152,21.71,1150,1150,10-Minute
-1.0_to_-0.786,1200,36,-1.0_to_-0.786,930,152,23.68,1200,1200,10-Minute
-1.0_to_-0.786,1210,37,-1.0_to_-0.786,930,152,24.34,1210,1210,10-Minute
-1.0_to_-0.786,1220,38,-1.0_to_-0.786,930,152,25.0,1220,1220,10-Minute
-1.0_to_-0.786,1230,40,-1.0_to_-0.786,930,152,26.32,1230,1230,10-Minute
-1.0_to_-0.786,1240,31,-1.0_to_-0.786,930,152,20.39,1240,1240,10-Minute
-1.0_to_-0.786,1250,32,-1.0_to_-0.786,930,152,21.05,1250,1250,10-Minute
-1.0_to_-0.786,1300,34,-1.0_to_-0.786,930,152,22.37,1300,1300,10-Minute
-1.0_to_-0.786,1310,32,-1.0_to_-0.786,930,152,21.05,1310,1310,10-Minute
-1.0_to_-0.786,1320,34,-1.0_to_-0.786,930,152,22.37,1320,1320,10-Minute
-1.0_to_-0.786,1330,26,-1.0_to_-0.786,930,152,17.11,1330,1330,10-Minute
-1.0_to_-0.786,1340,28,-1.0_to_-0.786,930,152,18.42,1340,1340,10-Minute
-1.0_to_-0.786,1350,31,-1.0_to_-0.786,930,152,20.39,1350,1350,10-Minute
-1.0_to_-0.786,1400,33,-1.0_to_-0.786,930,152,21.71,1400,1400,10-Minute
-1.0_to_-0.786,1410,28,-1.0_to_-0.786,930,152,18.42,1410,1410,10-Minute
-1.0_to_-0.786,1420,28,-1.0_to_-0.786,930,152,18.42,1420,1420,10-Minute
-1.0_to_-0.786,1430,24,-1.0_to_-0.786,930,152,15.79,1430,1430,10-Minute
-1.0_to_-0.786,1440,27,-1.0_to_-0.786,930,152,17.76,1440,1440,10-Minute
-1.0_to_-0.786,1450,29,-1.0_to_-0.786,930,152,19.08,1450,1450,10-Minute
-1.0_to_-0.786,1500,27,-1.0_to_-0.786,930,152,17.76,1500,1500,10-Minute
-1.0_to_-0.786,1510,29,-1.0_to_-0.786,930,152,19.08,1510,1510,10-Minute
-1.0_to_-0.786,1520,30,-1.0_to_-0.786,930,152,19.74,1520,1520,10-Minute
-1.0_to_-0.786,1530,33,-1.0_to_-0.786,930,152,21.71,1530,1530,10-Minute
